"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1829","YGR274C","1",56,0.000289880448734667,0.000340679306678229,0.31427511657482,"0",FALSE
"1834","YAL036C","0",27,0.00419531360757759,0.000404418927544932,0.307098845337338,"0",TRUE
"1835","YER146W","1",78,0.0029823040645138,0.000194427789013097,0.307449069514281,"1",TRUE
"1837","YKL081W","0",245,0.0479807099179996,0.00304949947963344,0.355767500449883,"0",TRUE
"1838","YDR436W","0",22,2.74074212348785e-05,0.000231190691625191,0.298745781493981,"0",TRUE
"1839","YHR089C","0",130,0.0225210318821179,0.000784629101965088,0.33049147442327,"0",TRUE
"1843","YOR140W","0",19,2.36561435358144e-05,0.000346060725994191,0.292888888888889,"0",TRUE
"1844","YLR325C","0",263,0.0631432454729814,0.000370162520754815,0.343965667227281,"0",TRUE
"1846","YGR162W","1",158,0.0236834570763647,0.00157633855987476,0.338025760857175,"0",FALSE
"1850","YDR098C","0",38,4.11735686859815e-05,0.000638139917937089,0.294781312127237,"0",TRUE
"1851","YGR156W","1",20,0.000228977597126779,4.92656188690199e-06,0.287968537580113,"0",FALSE
"1854","YNL153C","0",25,0.000400447289525176,0.000167910535671294,0.302170368860811,"0",TRUE
"1855","YGL106W","1",29,0.000127046515611588,0.00018126636802048,0.310604870384918,"0",FALSE
"1857","YNL255C","0",32,0.00412006492540584,0.00184319110865714,0.306828763579928,"0",TRUE
"1858","YGR123C","0",13,0.000147415830962062,0.000116441353420458,0.292484465923661,"0",TRUE
"1861","YIL069C","0",281,0.0674846232864068,0.000189697993284175,0.339768560953254,"0",TRUE
"1865","YGL011C","1",71,0.00555997498201505,0.000401525245202322,0.321167487951481,"1",TRUE
"1866","YER074W","0",280,0.0675744359711646,0.000185454653012303,0.33953514998855,"0",TRUE
"1867","YBR058C","0",26,0.000766597357924703,0.000205552778978883,0.296950883692986,"0",TRUE
"1868","YML022W","0",28,0.00104011445213831,0.000387173869767373,0.30180134337472,"0",TRUE
"1869","YHR015W","0",17,0.000760413427626117,0.00228757677793443,0.292239467849224,"0",TRUE
"1870","YBR271W","0",43,0.00259295853146139,0.00155029981658047,0.299212995661386,"0",TRUE
"1872","YNL229C","0",55,0.000858036480109852,0.00231299414407445,0.336243551221725,"0",TRUE
"1874","YJR014W","0",24,0.00352343268171939,8.40068034531438e-05,0.3064166150031,"0",TRUE
"1875","YDL055C","1",27,0.000348641988046893,0.000835765854410839,0.304419237283786,"0",FALSE
"1884","YOR095C","1",82,0.00882118739966877,0.00344391822503086,0.325004109814236,"0",FALSE
"1886","YOR272W","1",317,0.0611321463233631,0.00160319589614882,0.353730542136339,"1",TRUE
"1888","YDR190C","1",106,0.00447392159875748,0.00211828704157367,0.34925214933459,"1",TRUE
"1890","YLR275W","1",112,0.00287839416457002,0.000795304799284882,0.331655762455964,"1",TRUE
"1891","YBR053C","0",8,3.0893194592219e-06,0.000184621373776909,0.256088082901554,"0",TRUE
"1892","YDR211W","1",22,0.00148686008508469,0.000133268560610981,0.30230898618686,"0",FALSE
"1894","YOR167C","1",272,0.0651543766909616,0.000298695143643279,0.339710178131623,"0",FALSE
"1895","YIL110W","0",27,0.00117490991063814,0.000125670626364099,0.284296807592752,"0",TRUE
